"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","ameboidal-type cell migration","7/30","497/18870",1.01407256504537e-05,0.00957284501402828,0.00722660133195489,"PIK3R3/GBX2/SEMA5B/SLIT2/DAB2IP/RHOJ/EFNB1",7
"GO:0042472","inner ear morphogenesis","4/30","105/18870",2.21900949245703e-05,0.0100579346177129,0.0075927985461548,"GBX2/ZEB1/HMX3/MAFB",4
"GO:0030900","forebrain development","6/30","407/18870",3.71482095002229e-05,0.0100579346177129,0.0075927985461548,"GBX2/SLIT2/AKNA/DAB2IP/ZEB1/SOX1",6
"GO:0042471","ear morphogenesis","4/30","126/18870",4.53992776366088e-05,0.0100579346177129,0.0075927985461548,"GBX2/ZEB1/HMX3/MAFB",4
"GO:0048762","mesenchymal cell differentiation","5/30","262/18870",5.32729587802589e-05,0.0100579346177129,0.0075927985461548,"GBX2/SEMA5B/AKNA/DAB2IP/EFNB1",5
"GO:0001755","neural crest cell migration","3/30","59/18870",0.0001110039317351,0.0144699632983214,0.0109234669413064,"GBX2/SEMA5B/EFNB1",3
"GO:0021953","central nervous system neuron differentiation","4/30","181/18870",0.000184641247786213,0.0174301337910185,0.0131581183948701,"GBX2/SLIT2/OLIG3/SOX1",4
"GO:0048839","inner ear development","4/30","194/18870",0.000240754352771823,0.020661100819691,0.0155971958685669,"GBX2/ZEB1/HMX3/MAFB",4
"GO:0048864","stem cell development","3/30","88/18870",0.000363234856403935,0.0239669600620258,0.018092809948697,"GBX2/SEMA5B/EFNB1",3
"GO:0002042","cell migration involved in sprouting angiogenesis","3/30","96/18870",0.000468909328280668,0.0239669600620258,0.018092809948697,"PIK3R3/SLIT2/RHOJ",3
"GO:0007411","axon guidance","4/30","233/18870",0.000482385848706029,0.0239669600620258,0.018092809948697,"GBX2/SEMA5B/SLIT2/EFNB1",4
"GO:0097485","neuron projection guidance","4/30","233/18870",0.000482385848706029,0.0239669600620258,0.018092809948697,"GBX2/SEMA5B/SLIT2/EFNB1",4
"GO:0007389","pattern specification process","5/30","475/18870",0.000838142130321187,0.0376764843344381,0.0284422166530047,"GBX2/ZEB1/SOX1/MAFB/EFNB1",5
"GO:0043542","endothelial cell migration","4/30","284/18870",0.00101126158000635,0.0433923150693635,0.0327571334767608,"PIK3R3/SLIT2/DAB2IP/RHOJ",4
